DISTANCE_mean,DISTANCE_sum,FREIGHT_mean,FREIGHT_sum,MAIL_mean,MAIL_sum,PASSENGERS_mean,PASSENGERS_sum,origin_dest,source,target,PASSENGERS_sum_norm,FREIGHT_sum_norm,MAIL_sum_norm,DISTANCE_mean_norm
191.0,1910.0,3129.9,31299.0,0.0,0.0,12.2,122.0,10005-11630,10005,11630,2.001202328443718,2.0013976139774177,2.0,2.431638418079096
14.0,42.0,0.0,0.0,0.0,0.0,2.6666666666666665,8.0,10006-10170,10006,10170,2.000078841209424,2.0,2.0,2.031638418079096
0.0,0.0,0.0,0.0,0.0,0.0,833.25,9999.0,10011-10011,10011,10011,2.0985416566290125,2.0,2.0,2.0
59.0,944.0,0.0,0.0,0.0,0.0,1547.3125,24757.0,10011-10661,10011,10661,2.243983977714218,2.0,2.0,2.1333333333333333
38.0,266.0,0.0,0.0,0.0,0.0,0.5714285714285714,4.0,10011-11399,10011,11399,2.000039420604712,2.0,2.0,2.085875706214689
94.0,846.0,0.0,0.0,0.0,0.0,5.0,45.0,10011-11869,10011,11869,2.000443481803011,2.0,2.0,2.2124293785310734
101.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,10011-12745,10011,12745,2.0,2.0,2.0,2.2282485875706213
147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,10011-14081,10011,14081,2.0,2.0,2.0,2.3322033898305086
72.0,432.0,0.0,0.0,0.0,0.0,3.0,18.0,10015-10170,10015,10170,2.0001773927212043,2.0,2.0,2.1627118644067798
122.5,490.0,0.0,0.0,0.0,0.0,1.75,7.0,10016-12184,10016,12184,2.0000689860582463,2.0,2.0,2.2768361581920904
31.0,31.0,0.0,0.0,0.0,0.0,2.0,2.0,10030-10170,10030,10170,2.000019710302356,2.0,2.0,2.070056497175141
636.0,4452.0,13228.857142857143,92602.0,11.857142857142858,83.0,0.0,0.0,10033-10299,10033,10299,2.0,2.0041350154809052,2.000046778853253,3.4372881355932203
677.0,677.0,81675.0,81675.0,0.0,0.0,0.0,0.0,10033-11555,10033,11555,2.0,2.0036470852616888,2.0,3.529943502824859
59.0,413.0,503183.71428571426,3522286.0,0.0,0.0,0.0,0.0,10033-14709,10033,14709,2.0,2.1572828571540064,2.0,2.1333333333333333
533.0,533.0,8040.0,8040.0,0.0,0.0,0.0,0.0,10039-10299,10039,10299,2.0,2.0003590151882946,2.0,3.2045197740112994
333.0,333.0,44120.0,44120.0,0.0,0.0,0.0,0.0,10039-11630,10039,11630,2.0,2.001970118172583,2.0,2.752542372881356
91.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0,10040-11630,10040,11630,2.0000098551511782,2.0,2.0,2.2056497175141243
80.0,80.0,0.0,0.0,0.0,0.0,2.0,2.0,10041-10170,10041,10170,2.000019710302356,2.0,2.0,2.1807909604519775
42.0,42.0,0.0,0.0,0.0,0.0,7.0,7.0,10042-10056,10042,10056,2.0000689860582463,2.0,2.0,2.094915254237288
38.0,532.0,0.0,0.0,0.0,0.0,5.071428571428571,71.0,10042-10170,10042,10170,2.0006997157336395,2.0,2.0,2.085875706214689
42.0,42.0,0.0,0.0,0.0,0.0,4.0,4.0,10056-10042,10056,10042,2.000039420604712,2.0,2.0,2.094915254237288
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10056-10056,10056,10056,2.0000098551511782,2.0,2.0,2.0
4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,10056-10170,10056,10170,2.000039420604712,2.0,2.0,2.009039548022599
93.0,93.0,99.0,99.0,46.0,46.0,0.0,0.0,10056-10278,10056,10278,2.0,2.0000044207094083,2.000025925629514,2.2101694915254235
25.0,25.0,0.0,0.0,0.0,0.0,3.0,3.0,10056-11299,10056,11299,2.0000295654535343,2.0,2.0,2.056497175141243
28.0,28.0,133.0,133.0,588.0,588.0,3.0,3.0,10056-12705,10056,12705,2.0000295654535343,2.000005938932841,2.0003313971772627,2.063276836158192
46.0,46.0,161.0,161.0,88.0,88.0,1.0,1.0,10056-12782,10056,12782,2.0000098551511782,2.000007189234492,2.000049596856461,2.103954802259887
26.0,26.0,348.0,348.0,387.0,387.0,0.0,0.0,10056-12785,10056,12785,2.0,2.000015539463374,2.0002181134483004,2.0587570621468925
43.0,43.0,173.0,173.0,167.0,167.0,0.0,0.0,10056-12854,10056,12854,2.0,2.000007725078057,2.0000941213071477,2.097175141242938
53.0,53.0,406.0,406.0,1162.0,1162.0,3.0,3.0,10056-12869,10056,12869,2.0000295654535343,2.0000181293739363,2.000654903945543,2.119774011299435
42.0,126.0,38.333333333333336,115.0,41.0,123.0,1.6666666666666667,5.0,10056-15091,10056,15091,2.0000492757558903,2.0000051351674943,2.0000693228789173,2.094915254237288
34.0,34.0,707.0,707.0,189.0,189.0,3.0,3.0,10056-15446,10056,15446,2.0000295654535343,2.000031570116682,2.000106520521263,2.07683615819209
47.0,94.0,0.0,0.0,0.0,0.0,7.5,15.0,10065-12184,10065,12184,2.0001478272676705,2.0,2.0,2.1062146892655367
142.0,710.0,891.8,4459.0,0.0,0.0,7.2,36.0,10076-11630,10076,11630,2.0003547854424086,2.0001991105378862,2.0,2.32090395480226
