IATA,ID,CITY_NAME,STATE_NAME,label,region
MEM,13244,"Memphis, TN",Tennessee,"MEM - Memphis, TN",Southeast
MEO,13246,"Manteo, NC",North Carolina,"MEO - Manteo, NC",Southeast
MFR,13264,"Medford, OR",Oregon,"MFR - Medford, OR",Northwest
MHT,13296,"Manchester, NH",New Hampshire,"MHT - Manchester, NH",Northeast
MIA,13303,"Miami, FL",Florida,"MIA - Miami, FL",Southeast
MKE,13342,"Milwaukee, WI",Wisconsin,"MKE - Milwaukee, WI",Midwest
MKK,13347,"Hoolehua, HI",Hawaii,"MKK - Hoolehua, HI",Pacific
MOT,13433,"Minot, ND",North Dakota,"MOT - Minot, ND",Midwest
MQT,13459,"Marquette, MI",Michigan,"MQT - Marquette, MI",Midwest
MQY,13461,"Smyrna, TN",Tennessee,"MQY - Smyrna, TN",Southeast
MRY,13476,"Monterey, CA",California,"MRY - Monterey, CA",Pacific
MSN,13485,"Madison, WI",Wisconsin,"MSN - Madison, WI",Midwest
MSO,13486,"Missoula, MT",Montana,"MSO - Missoula, MT",Northwest
MSP,13487,"Minneapolis, MN",Minnesota,"MSP - Minneapolis, MN",Midwest
MSY,13495,"New Orleans, LA",Louisiana,"MSY - New Orleans, LA",Southeast
MTH,13501,"Marathon, FL",Florida,"MTH - Marathon, FL",Southeast
MVW,13540,"Burlington/Mount Vernon, WA",Washington,"MVW - Burlington/Mount Vernon, WA",Northwest
MVY,13541,"Martha's Vineyard, MA",Massachusetts,"MVY - Martha's Vineyard, MA",Northeast
MWH,13546,"Moses Lake, WA",Washington,"MWH - Moses Lake, WA",Northwest
MYR,13577,"Myrtle Beach, SC",South Carolina,"MYR - Myrtle Beach, SC",Southeast
NYL,13785,"Yuma, AZ",Arizona,"NYL - Yuma, AZ",Southwest
OAK,13796,"Oakland, CA",California,"OAK - Oakland, CA",Pacific
OKC,13851,"Oklahoma City, OK",Oklahoma,"OKC - Oklahoma City, OK",Southwest
OLF,13862,"Wolf Point, MT",Montana,"OLF - Wolf Point, MT",Northwest
OMA,13871,"Omaha, NE",Nebraska,"OMA - Omaha, NE",Midwest
