FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
598622,Seaside Park,Park,MA,25,Essex,9,422945N,0705128W,42.495929400000001,-70.857825199999994,,,,,5,16,Marblehead South,08/27/2002,
598654,Taconic Trail State Park,Park,MA,25,Berkshire,3,424300N,0731558W,42.716746499999999,-73.266219500000005,,,,,448,1470,Berlin,08/27/2002,
598656,Bates Memorial State Park,Park,MA,25,Berkshire,3,422545N,0732158W,42.429251000000001,-73.366219500000000,,,,,480,1575,Pittsfield West,08/27/2002,
598675,Osceola Park,Park,MA,25,Berkshire,3,422630N,0731713W,42.441751199999999,-73.287050399999998,,,,,312,1024,Pittsfield West,08/27/2002,
598677,Clapp Park,Park,MA,25,Berkshire,3,422625N,0731551W,42.440362499999999,-73.264271899999997,,,,,308,1010,Pittsfield West,08/27/2002,
598685,Wahcohah Park,Park,MA,25,Berkshire,3,422745N,0731528W,42.462584300000003,-73.257882600000002,,,,,302,991,Pittsfield West,08/27/2002,
598691,Balance Rock State Park,Park,MA,25,Berkshire,3,423030N,0731628W,42.508416699999998,-73.274549600000000,,,,,380,1247,Hancock,08/27/2002,
598693,Forbush Wildlife Sanctuary,Park,MA,25,Berkshire,3,423700N,0731813W,42.616748000000001,-73.303718799999999,,,,,536,1759,Hancock,08/27/2002,
598709,Historic Valley Park,Park,MA,25,Berkshire,3,424100N,0730538W,42.683415500000002,-73.093991900000006,,,,,274,899,North Adams,08/27/2002,
598745,Stafford Hill Wildlife Management Area,Park,MA,25,Berkshire,3,423415N,0730628W,42.570917000000001,-73.107879699999998,,,,,479,1572,Windsor,08/27/2002,
598748,Pittsfield State Watershed Area,Park,MA,25,Berkshire,3,422430N,0731128W,42.408418900000001,-73.191215099999994,,,,,425,1394,Pittsfield East,08/27/2002,
598752,Schermerhorn Park,Park,MA,25,Berkshire,3,422058N,0731642W,42.349530600000001,-73.278439899999995,,,,,360,1181,Stockbridge,08/27/2002,
598756,Skinner State Park,Park,MA,25,Hampshire,15,421816N,0723518W,42.304534799999999,-72.588422300000005,,,,,135,443,Mount Holyoke,08/27/2002,
598758,Legion Park,Park,MA,25,Norfolk,21,421116N,0711210W,42.187876500000002,-71.202831000000003,,,,,37,121,Norwood,08/27/2002,
598759,Eliot Park,Park,MA,25,Norfolk,21,421035N,0711213W,42.176487600000002,-71.203664200000006,,,,,18,59,Norwood,08/27/2002,
598776,Endean Playground,Park,MA,25,Norfolk,21,421027N,0711238W,42.174265400000003,-71.210608800000003,,,,,19,62,Norwood,08/27/2002,
598796,Hyde Park,Park,MA,25,Suffolk,25,421458N,0711343W,42.249542599999998,-71.228666000000004,,,,,62,203,Norwood,08/27/2002,
598850,Buffington Park,Park,MA,25,Bristol,5,414507N,0710855W,41.752046399999998,-71.148656200000005,,,,,26,85,Somerset,08/27/2002,
598874,Maplewood Park,Park,MA,25,Bristol,5,414042N,0710925W,41.678435700000001,-71.156989499999995,,,,,66,217,Fall River,08/27/2002,
598880,Lafayette Park,Park,MA,25,Bristol,5,414135N,0710756W,41.693157999999997,-71.132266700000002,,,,,60,197,Fall River,08/27/2002,
598890,Pulaski Park,Park,MA,25,Bristol,5,414117N,0710906W,41.688158000000001,-71.151711599999999,,,,,65,213,Fall River,08/27/2002,
598917,Abbott Playground,Park,MA,25,Bristol,5,414104N,0711050W,41.684546699999999,-71.180601300000006,,,,,42,138,Fall River,08/27/2002,
598934,Chew Playground,Park,MA,25,Bristol,5,414107N,0711011W,41.685380100000003,-71.169767699999994,,,,,55,180,Fall River,08/27/2002,
598936,Ruggles Park,Park,MA,25,Bristol,5,414215N,0710844W,41.704268999999996,-71.145600400000006,,,,,51,167,Fall River,08/27/2002,
598956,North Park,Park,MA,25,Bristol,5,414259N,0710843W,41.716491099999999,-71.145322600000000,,,,,36,118,Fall River,08/27/2002,
