FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
561012,Peaks-Kenny State Park,Park,ME,23,Piscataquis,21,451503N,0691503W,45.250885699999998,-69.250878900000004,,,,,120,394,Sebec Lake West,09/30/1980,
561303,Aroostook State Park,Park,ME,23,Aroostook,3,463613N,0680039W,46.603652599999997,-68.010861399999996,,,,,297,974,Echo Lake,09/30/1980,
561708,Bass Park,Park,ME,23,Penobscot,19,444726N,0684700W,44.790626699999997,-68.783369600000000,,,,,29,95,Bangor,09/30/1980,
561736,Baxter Game Preserve,Park,ME,23,Piscataquis,21,455710N,0685502W,45.952823799999997,-68.917267199999998,,,,,1008,3307,Mount Katahdin,09/30/1980,06/23/2010
561740,Baxter State Park,Park,ME,23,Piscataquis,21,460528N,0685723W,46.091155600000000,-68.956435499999998,,,,,441,1447,Wassataquoik Lake,09/30/1980,06/23/2010
561937,Beaver Park,Park,ME,23,Androscoggin,1,440153N,0700726W,44.031464700000001,-70.123942000000000,,,,,58,190,Lisbon Falls North,09/30/1980,
562795,Bowdoinham Wildlife Management Area,Park,ME,23,Sagadahoc,23,435945N,0695223W,43.995910899999998,-69.873104400000003,,,,,13,43,Bath,09/30/1980,
562850,Bradbury Mountain State Park,Park,ME,23,Cumberland,5,435418N,0701050W,43.905077700000000,-70.180607100000003,,,,,124,407,North Pownal,09/30/1980,
563005,Broadway Park,Park,ME,23,Penobscot,19,444840N,0684612W,44.811181900000001,-68.770035899999996,,,,,30,98,Bangor,09/30/1980,
563375,Camden Hills State Park,Park,ME,23,Waldo,27,441656N,0690220W,44.282300100000000,-69.038924100000003,,,,,79,259,Lincolnville,09/30/1980,
563812,Champlain Monument,Park,ME,23,Hancock,9,441800N,0681338W,44.300080299999998,-68.227235899999997,,,,,75,246,Seal Harbor,09/30/1980,
563848,Chapin Park,Park,ME,23,Penobscot,19,444827N,0684545W,44.807570900000002,-68.762535799999995,,,,,35,115,Bangor,09/30/1980,
564101,Clifford Park,Park,ME,23,York,31,432913N,0702654W,43.487028799999997,-70.448384300000001,,,,,48,157,Biddeford,09/30/1980,
564136,Coburn Park,Park,ME,23,Somerset,25,444612N,0694242W,44.770061699999999,-69.711717899999996,,,,,51,167,Skowhegan,09/30/1980,
564147,Coe Park,Park,ME,23,Penobscot,19,444816N,0684642W,44.804515299999998,-68.778369400000003,,,,,35,115,Bangor,09/30/1980,
564746,Dakin Park,Park,ME,23,Penobscot,19,444849N,0684612W,44.813681899999999,-68.770035899999996,,,,,34,112,Bangor,09/30/1980,
565010,Deering Oaks Park,Park,ME,23,Cumberland,5,433934N,0701617W,43.659526399999997,-70.271437300000002,,,,,6,20,Portland West,09/30/1980,
565797,Edward Payson Park,Park,ME,23,Cumberland,5,434052N,0701606W,43.681192600000003,-70.268381899999994,,,,,6,20,Portland West,09/30/1980,
565800,Edwards Field,Park,ME,23,Cumberland,5,435448N,0695710W,43.913413300000002,-69.952827499999998,,,,,12,39,Brunswick,09/30/1980,
565998,Fairmont Park,Park,ME,23,Penobscot,19,444751N,0684752W,44.797570899999997,-68.797814299999999,,,,,53,174,Bangor,09/30/1980,
566000,Fairmont Terrace Park,Park,ME,23,Penobscot,19,444814N,0684719W,44.803959700000000,-68.788647499999996,,,,,51,167,Bangor,09/30/1980,
566402,Fort Allen Park,Park,ME,23,Cumberland,5,433955N,0701428W,43.665359899999999,-70.241159100000004,,,,,28,92,Portland East,09/30/1980,
566417,Fort McClary State Park,Park,ME,23,York,31,430459N,0704232W,43.083144500000003,-70.708941199999998,,,,,12,39,Kittery,09/30/1980,
566427,Fort Point State Park,Park,ME,23,Waldo,27,442800N,0684908W,44.466742300000000,-68.818919699999995,,,,,10,33,Castine,09/30/1980,
566634,Frye Mountain State Game Management Area,Park,ME,23,Waldo,27,442854N,0691240W,44.481739300000001,-69.211152200000001,,,,,277,909,Morrill,09/30/1980,
567017,Gracelon Field,Park,ME,23,Androscoggin,1,440623N,0701201W,44.106462100000002,-70.200331800000001,,,,,76,249,Lewiston,09/30/1980,
567263,Green Valley Park,Park,ME,23,Kennebec,11,442432N,0693809W,44.408957299999997,-69.635877500000007,,,,,40,131,Vassalboro,09/30/1980,
569118,Kennedy Park,Park,ME,23,Androscoggin,1,440541N,0701248W,44.094795499999996,-70.213387499999996,,,,,63,207,Lewiston,09/30/1980,
569311,Lake Saint George State Park,Park,ME,23,Waldo,27,442414N,0692122W,44.403961000000002,-69.356153599999999,,,,,209,686,Liberty,09/30/1980,
569350,Lamoine State Park,Park,ME,23,Hancock,9,442718N,0681802W,44.454909999999998,-68.300569999999993,,,,,19,62,Salsbury Cove,09/30/1980,06/08/2010
569557,Lily Bay State Park,Park,ME,23,Piscataquis,21,453431N,0693239W,45.575322000000000,-69.544221300000004,,,,,317,1040,Lily Bay,09/30/1980,
570619,Fort O'Brien State Historic Site,Park,ME,23,Washington,29,444123N,0672345W,44.689800099999999,-67.395823300000004,,,,,17,56,Machias,09/30/1980,06/08/2010
571136,Memorial Field,Park,ME,23,Somerset,25,444621N,0694244W,44.772561699999997,-69.712273499999995,,,,,58,190,Skowhegan,09/30/1980,
571613,Moose Point State Park,Park,ME,23,Waldo,27,442622N,0685652W,44.439520199999997,-68.947811000000002,,,,,46,151,Searsport,09/30/1980,
571724,Mosman Park,Park,ME,23,Waldo,27,442720N,0685524W,44.455631199999999,-68.923366200000004,,,,,2,7,Searsport,09/30/1980,
571756,Mount Blue State Park,Park,ME,23,Franklin,7,444402N,0702316W,44.733947399999998,-70.387843399999994,,,,,370,1214,Weld,09/30/1980,
573184,Pepperell Park,Park,ME,23,York,31,432956N,0702617W,43.498973300000003,-70.438106300000001,,,,,19,62,Biddeford,09/30/1980,
573247,Pettingill Park,Park,ME,23,Androscoggin,1,440619N,0701400W,44.105350700000002,-70.233387699999994,,,,,59,194,Lewiston,09/30/1980,
573278,Pickard Field,Park,ME,23,Cumberland,5,435409N,0695736W,43.902580200000003,-69.960049799999993,,,,,23,75,Brunswick,09/30/1980,
573800,Presumpscot Park,Park,ME,23,Cumberland,5,434019N,0701754W,43.672025900000001,-70.298382399999994,,,,,23,75,Portland West,09/30/1980,
573948,Quoddy Head State Park,Park,ME,23,Washington,29,444825N,0665803W,44.807024599999998,-66.967478099999994,,,,,12,39,Lubec,09/30/1980,
574137,Reid State Park,Park,ME,23,Sagadahoc,23,434724N,0694342W,43.790083699999997,-69.728378599999999,,,,,18,59,Boothbay Harbor,09/30/1980,
574566,Ruffingham Meadow State Game Management Area,Park,ME,23,Waldo,27,442428N,0691421W,44.407851600000001,-69.239209000000002,,,,,69,226,Morrill,09/30/1980,
574738,Saint Louis Field,Park,ME,23,York,31,432845N,0702746W,43.479251099999999,-70.462828999999999,,,,,41,135,Biddeford,09/30/1980,
574754,Sainte Croix Park,Park,ME,23,Androscoggin,1,440437N,0701130W,44.077018299999999,-70.191720500000002,,,,,69,226,Lewiston,09/30/1980,
575158,Sebago Lake State Park,Park,ME,23,Cumberland,5,435515N,0703450W,43.920906899999999,-70.580613499999998,,,,,82,269,Naples,09/30/1980,
576316,Steve Powell Wildlife Management Area,Park,ME,23,Sagadahoc,23,440353N,0694757W,44.064797200000001,-69.799212900000001,,,,,21,69,Richmond,09/30/1980,
576349,Stillwater Park Playground,Park,ME,23,Penobscot,19,444911N,0684528W,44.819792900000003,-68.757813400000003,,,,,40,131,Bangor,09/30/1980,
