FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
865246,Annett State Reservation,Park,NH,33,Cheshire,5,424659N,0715807W,42.783140600000003,-71.968690300000006,,,,,336,1102,Peterborough South,08/27/1980,
865439,Bear Brook State Park,Park,NH,33,Merrimack,13,430628N,0712110W,43.107860799999997,-71.352843699999994,,,,,188,617,Candia,08/27/1980,
865528,Belknap Mountain State Forest,Park,NH,33,Belknap,1,433057N,0712225W,43.515911099999997,-71.373682099999996,,,,,589,1932,West Alton,08/27/2002,
865532,Bellamy Park,Park,NH,33,Strafford,17,431044N,0705334W,43.178973599999999,-70.892836599999995,,,,,27,89,Dover West,08/27/1980,
865589,Binney Pond State Forest,Park,NH,33,Hillsborough,11,424332N,0715448W,42.725642000000001,-71.913410700000000,,,,,394,1293,Ashburnham,08/27/1980,
865713,Bond Park,Park,NH,33,Belknap,1,433319N,0712828W,43.555354199999996,-71.474517899999995,,,,,172,564,Laconia,08/27/1980,
865986,Canobie Lake Park,Park,NH,33,Rockingham,15,424729N,0711452W,42.791477800000003,-71.247838700000003,,,,,73,239,Salem Depot,08/27/1980,
865991,Captain John Smith Monument,Park,NH,33,Rockingham,15,425831N,0703649W,42.975369399999998,-70.613660199999998,,,,,9,30,Isles of Shoals,08/27/1980,
866006,Carr Playground,Park,NH,33,Rockingham,15,425235N,0711851W,42.876475900000003,-71.314229699999999,,,,,87,285,Derry,08/27/1980,
866223,Clough State Park,Park,NH,33,Hillsborough,11,430548N,0713925W,43.096748300000002,-71.657018199999996,,,,,134,440,Weare,08/27/1980,
866428,Crystal Lake Park,Park,NH,33,Hillsborough,11,425716N,0712424W,42.954529500000000,-71.406732300000002,,,,,70,230,Manchester South,08/27/1980,
866432,Cullerot Park,Park,NH,33,Hillsborough,11,430006N,0712900W,43.001750600000001,-71.483400900000007,,,,,82,269,Manchester North,08/27/1980,
866448,Curtiss Dogwood State Park,Park,NH,33,Hillsborough,11,425121N,0714325W,42.855918799999998,-71.723685000000003,,,,,232,761,Milford,08/27/1980,
866559,Derryfield Park,Park,NH,33,Hillsborough,11,425958N,0712627W,42.999528499999997,-71.440899999999999,,,,,137,449,Manchester South,08/27/1980,
866633,Drew Lake Recreation Area,Park,NH,33,Merrimack,13,430936N,0714117W,43.160080299999997,-71.688130900000004,,,,,126,413,Hopkinton,08/27/1980,
866782,Elm Brook Recreation Area,Park,NH,33,Merrimack,13,431118N,0714339W,43.188412700000001,-71.727576700000000,,,,,123,404,Hopkinton,08/27/1980,
867143,Gossler Park,Park,NH,33,Hillsborough,11,425919N,0712852W,42.988695200000002,-71.481178600000007,,,,,60,197,Manchester South,08/27/1980,
867226,Greeley Park,Park,NH,33,Hillsborough,11,424650N,0712749W,42.780643800000000,-71.463677099999998,,,,,45,148,Nashua North,08/27/1980,
867345,Hampton Beach State Park,Park,NH,33,Rockingham,15,425555N,0704753W,42.932034799999997,-70.798107700000003,,,,,3,10,Hampton,08/27/1980,
867382,Harriman Park,Park,NH,33,Hillsborough,11,425916N,0712650W,42.987862100000001,-71.447288900000004,,,,,79,259,Manchester South,08/27/1980,
867582,Hood Park,Park,NH,33,Rockingham,15,425307N,0711944W,42.885364600000003,-71.328952299999997,,,,,86,282,Derry,08/27/1980,
867637,Howe Park,Park,NH,33,Hillsborough,11,425826N,0712709W,42.973973399999998,-71.452566800000000,,,,,74,243,Manchester South,08/27/1980,
867894,Kingston State Park,Park,NH,33,Rockingham,15,425538N,0710329W,42.927310200000001,-71.058114000000003,,,,,40,131,Kingston,08/27/1980,
867971,Leavitt Park,Park,NH,33,Belknap,1,433311N,0712809W,43.553132099999999,-71.469239900000005,,,,,169,554,Laconia,08/27/1980,
868108,Livingston Park,Park,NH,33,Hillsborough,11,430045N,0712726W,43.012583800000002,-71.457289399999993,,,,,81,266,Manchester North,08/27/1980,
868280,Marshall State Forest,Park,NH,33,Hillsborough,11,424423N,0714929W,42.739809100000002,-71.824797799999999,,,,,359,1178,Ashby,08/27/1980,
868456,Miller State Park,Park,NH,33,Hillsborough,11,425134N,0715259W,42.859528699999998,-71.883133200000003,,,,,593,1946,Peterborough South,08/27/1980,
868526,Moody Park,Park,NH,33,Sullivan,19,432135N,0722206W,43.359795900000002,-72.368422699999996,,,,,172,564,Claremont South,08/27/1980,
868536,Moore Park,Park,NH,33,Rockingham,15,430339N,0711726W,43.060917199999999,-71.290619500000005,,,,,151,495,Candia,08/27/1980,
868593,Mount Cardigan State Park,Park,NH,33,Grafton,9,433922N,0715437W,43.656183700000000,-71.910360200000000,,,,,930,3051,Mount Cardigan,08/27/1980,
868595,Mount Kearsarge State Forest Park,Park,NH,33,Merrimack,13,432242N,0715115W,43.378409200000000,-71.854247400000006,,,,,751,2464,Andover,08/27/2002,
868779,North Common,Park,NH,33,Hillsborough,11,424611N,0712820W,42.769810499999998,-71.472288399999996,,,,,48,157,Nashua North,08/27/1980,
868915,Opechee Park,Park,NH,33,Belknap,1,433211N,0712826W,43.536465499999998,-71.473962200000003,,,,,154,505,Laconia,08/27/1980,
869212,Pinnacle Park,Park,NH,33,Belknap,1,433620N,0713724W,43.605630200000000,-71.623410000000007,,,,,367,1204,Winnisquam Lake,08/27/1980,
869349,Precourt Park,Park,NH,33,Hillsborough,11,425738N,0712650W,42.960640400000003,-71.447288799999995,,,,,75,246,Manchester South,08/27/1980,
869381,Prout Park,Park,NH,33,Hillsborough,11,425844N,0712625W,42.978973400000001,-71.440344199999998,,,,,95,312,Manchester South,08/27/1980,
869423,Raco-Theodore Park,Park,NH,33,Hillsborough,11,425857N,0712902W,42.982584199999998,-71.483956300000003,,,,,45,148,Manchester South,08/27/1980,
869563,Rock Rimmon Park,Park,NH,33,Hillsborough,11,425958N,0712911W,42.999528300000001,-71.486456399999994,,,,,103,338,Manchester South,08/27/1980,
869566,Rockingham Park,Park,NH,33,Rockingham,15,424616N,0711336W,42.771200499999999,-71.226726999999997,,,,,38,125,Salem Depot,08/27/1980,
869587,Rolfe Park,Park,NH,33,Merrimack,13,431641N,0713534W,43.278134999999999,-71.592851699999997,,,,,112,367,Penacook,08/27/1980,
869592,Rollins Park,Park,NH,33,Merrimack,13,431110N,0713215W,43.186192400000003,-71.537571499999999,,,,,85,279,Concord,08/27/1980,
869660,Rye Harbor State Park,Park,NH,33,Rockingham,15,430020N,0704517W,43.005645399999999,-70.754774100000006,,,,,2,7,Portsmouth,08/27/1980,
869675,Sagamore Park,Park,NH,33,Hillsborough,11,424332N,0712611W,42.725644899999999,-71.436453700000001,,,,,34,112,Nashua South,08/27/1980,
869679,Saint Antoine Playground,Park,NH,33,Hillsborough,11,425804N,0712641W,42.967862500000003,-71.444788799999998,,,,,98,322,Manchester South,08/27/1980,
869757,Samuel Blodget Park,Park,NH,33,Hillsborough,11,430035N,0712845W,43.009805999999998,-71.479234199999993,,,,,63,207,Manchester North,08/27/1980,
869826,Scribner Fellows State Forest,Park,NH,33,Belknap,1,434103N,0713807W,43.684240199999998,-71.635354800000002,,,,,210,689,Ashland,08/27/1980,
869929,Silver Lake State Park,Park,NH,33,Hillsborough,11,424545N,0713536W,42.762587900000000,-71.593402800000007,,,,,82,269,South Merrimack,08/27/1980,
869946,Sky Pond State Forest,Park,NH,33,Belknap,1,434003N,0713437W,43.667574100000003,-71.577020300000001,,,,,336,1102,Holderness,08/27/1980,
870145,Stark Park,Park,NH,33,Hillsborough,11,430053N,0712815W,43.014806000000000,-71.470900799999995,,,,,76,249,Manchester North,08/27/1980,
