FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1456116,Ainsworth State Park,Park,VT,50,Orange,17,440429N,0723347W,44.074785599999998,-72.563160199999999,,,,,460,1509,Brookfield,08/27/2002,
1456151,Allis State Park,Park,VT,50,Orange,17,440253N,0723810W,44.048119200000002,-72.636217500000001,,,,,607,1991,Roxbury,08/27/2002,
1456180,Ascutney State Park,Park,VT,50,Windsor,27,432631N,0722621W,43.442016500000001,-72.439257299999994,,,,,564,1850,Windsor,10/29/1980,
1456689,Burton Island State Park,Park,VT,50,Franklin,11,444621N,0731217W,44.772544000000003,-73.204855199999997,,,,,40,131,Saint Albans Bay,10/29/1980,
1456840,Champlain Valley Exposition,Park,VT,50,Chittenden,7,442950N,0730658W,44.497271800000000,-73.116238400000000,,,,,109,358,Essex Junction,10/29/1980,
1457018,Coote Field,Park,VT,50,Franklin,11,444833N,0730527W,44.809212299999999,-73.090969900000005,,,,,116,381,Saint Albans,10/29/1980,
1457226,Dutton Pines State Forest Park,Park,VT,50,Windham,25,425520N,0723212W,42.922303499999998,-72.536756299999993,,,,,120,394,Putney,10/29/1980,
1457365,Elmore State Park,Park,VT,50,Lamoille,15,443208N,0723225W,44.535608500000002,-72.540390299999999,,,,,492,1614,Morrisville,10/29/1980,
1457380,Ethan Allen Park,Park,VT,50,Chittenden,7,443039N,0731422W,44.510881500000004,-73.239572800000005,,,,,79,259,Colchester,10/29/1980,
1457413,Faulknet Park,Park,VT,50,Windsor,27,433726N,0723131W,43.623958399999999,-72.525372099999998,,,,,217,712,Woodstock South,10/29/1980,
1457497,Frost Park,Park,VT,50,Windsor,27,434010N,0721831W,43.669514999999997,-72.308702299999993,,,,,133,436,Hanover,10/29/1980,
1457532,General Thomas Monument,Park,VT,50,Windsor,27,435342N,0724142W,43.895065500000001,-72.695104599999993,,,,,417,1368,Randolph,10/29/1980,07/28/2012
1457603,Grand Isle State Park,Park,VT,50,Grand Isle,13,444119N,0731749W,44.688655400000002,-73.297075800000002,,,,,47,154,South Hero,10/29/1980,
1457781,Hazens Notch State Forest Park,Park,VT,50,Orleans,19,445028N,0723053W,44.841158399999998,-72.514835199999993,,,,,530,1739,Hazens Notch,10/29/1980,
1457909,Houghton Park,Park,VT,50,Franklin,11,444835N,0730532W,44.809767800000003,-73.092358800000000,,,,,116,381,Saint Albans,10/29/1980,
1457925,Hubbard Park,Park,VT,50,Washington,23,441606N,0723436W,44.268392400000003,-72.576775999999995,,,,,226,741,Montpelier,10/29/1980,
1458042,Joseph Smith Monument,Park,VT,50,Windsor,27,434925N,0722820W,43.823678899999997,-72.472318799999996,,,,,362,1188,Sharon,10/29/1980,07/28/2012
1458140,Lake Saint Catherine State Park,Park,VT,50,Rutland,21,432849N,0731217W,43.480347600000002,-73.204830200000004,,,,,159,522,Wells,10/29/1980,
1458501,Missisquoi National Wildlife Refuge,Park,VT,50,Franklin,11,445709N,0731046W,44.952499600000003,-73.179319399999997,,,,,30,98,East Alburg,10/29/1980,05/20/2017
1458518,Monroe State Park,Park,VT,50,Washington,23,441856N,0725105W,44.315611699999998,-72.851507900000001,,,,,457,1499,Waterbury,10/29/1980,
1458600,Mud Creek State Waterfowl Area,Park,VT,50,Grand Isle,13,445924N,0731614W,44.990040000000000,-73.270685599999993,,,,,30,98,Rouses Point,10/29/1980,
1458742,North Hero State Park,Park,VT,50,Grand Isle,13,445449N,0731435W,44.913652399999997,-73.243185499999996,,,,,31,102,East Alburg,10/29/1980,
1458978,Pine Mountain Wildlife Management Area,Park,VT,50,Orange,17,441048N,0721109W,44.180062700000001,-72.185928000000004,,,,,366,1201,Groton,10/29/1980,
1459159,Red Rocks Park,Park,VT,50,Chittenden,7,442644N,0731335W,44.445605200000003,-73.226516000000004,,,,,81,266,Burlington,10/29/1980,
1459244,Rood State Park,Park,VT,50,Windsor,27,434838N,0723938W,43.810622299999999,-72.660657200000003,,,,,171,561,Bethel,10/29/1980,
1459310,Saint Albans Bay State Park,Park,VT,50,Franklin,11,444839N,0730840W,44.810877900000001,-73.144578999999993,,,,,30,98,Saint Albans Bay,10/29/1980,
1459359,Sand Bar State Park,Park,VT,50,Chittenden,7,443736N,0731424W,44.626712699999999,-73.240129999999994,,,,,31,102,Georgia Plains,10/29/1980,05/12/2008
1459510,Silver Lake State Park,Park,VT,50,Windsor,27,434358N,0723649W,43.732845699999999,-72.613709799999995,,,,,402,1319,Woodstock North,10/29/1980,
1460022,Vermont Research Forest Agriculture Experiment StatiON,Park,VT,50,Chittenden,7,442652N,0725955W,44.447829599999999,-72.998736100000002,,,,,233,764,Richmond,10/29/1980,
1460258,Wilgus State Park,Park,VT,50,Windsor,27,432327N,0722428W,43.390906399999999,-72.407867699999997,,,,,140,459,Windsor,10/29/1980,
1460268,William Scott Memorial Monument,Park,VT,50,Caledonia,5,441216N,0721557W,44.204506299999998,-72.265930100000006,,,,,452,1483,Knox Mountain,10/29/1980,07/28/2012
1460363,Brighton State Park,Park,VT,50,Essex,9,444755N,0715058W,44.798660300000002,-71.849538899999999,,,,,358,1175,Spectacle Pond,12/01/1988,
1460486,North Beach Park,Park,VT,50,Chittenden,7,442935N,0731425W,44.493104199999998,-73.240405899999999,,,,,33,108,Burlington,10/01/1992,
1460487,Battery Park,Park,VT,50,Chittenden,7,442852N,0731310W,44.481160099999997,-73.219572200000002,,,,,66,217,Burlington,10/01/1992,
1460490,Redrocks Park,Park,VT,50,Chittenden,7,442646N,0731343W,44.446160700000000,-73.228738300000003,,,,,58,190,Burlington,10/01/1992,
1460694,Camels Hump State Park,Park,VT,50,Chittenden,7,441336N,0725600W,44.226724099999998,-72.933451800000000,,,,,694,2277,Mount Ellen,10/29/1980,
1460778,Daniel Webster Historical Monument,Park,VT,50,Windham,25,430334N,0725739W,43.059522299999998,-72.960935000000006,,,,,707,2320,Stratton Mountain,10/29/1980,07/28/2012
1460850,Emerald Lake State Park,Park,VT,50,Bennington,3,431647N,0730035W,43.279796599999997,-73.009825899999996,,,,,299,981,Dorset,10/29/1980,
1460897,Giffords Woods State Forest Park,Park,VT,50,Rutland,21,434027N,0724844W,43.674234300000002,-72.812325500000000,,,,,497,1631,Pico Peak,10/29/1980,
1460927,Granville State Reservation,Park,VT,50,Addison,1,440140N,0725001W,44.027840400000002,-72.833722499999993,,,,,420,1378,Warren,10/29/1980,
1461281,Pine Hill Park,Park,VT,50,Rutland,21,433704N,0725949W,43.617845799999998,-72.997051700000000,,,,,243,797,Rutland,10/29/1980,
1461648,Otter Creek State Wildlife Management Area,Park,VT,50,Rutland,21,432231N,0725913W,43.375350200000000,-72.987048400000006,,,,,299,981,Wallingford,05/01/1991,
1461650,White Rocks National Recreation Area,Park,VT,50,Rutland,21,432249N,0725506W,43.380350200000002,-72.918435500000001,,,,,635,2083,Wallingford,05/01/1991,
1461654,Atherton Meadow State Wildlife Management Area,Park,VT,50,Windham,25,424630N,0725357W,42.775082200000000,-72.899264900000006,,,,,564,1850,Readsboro,05/01/1991,
1461657,Memorial Park,Park,VT,50,Bennington,3,425250N,0731107W,42.880634600000000,-73.185384900000003,,,,,225,738,Bennington,05/01/1991,
1461663,Woodford State Park,Park,VT,50,Bennington,3,425317N,0730224W,42.888135599999998,-73.040103099999996,,,,,711,2333,Woodford,05/01/1991,
1461676,Ball Mountain State Park,Park,VT,50,Windham,25,430751N,0724624W,43.130910499999999,-72.773429600000000,,,,,388,1273,Londonderry,06/01/1991,
1461692,Robert Frost Wayside,Park,VT,50,Addison,1,435735N,0730030W,43.959784599999999,-73.008447099999998,,,,,406,1332,East Middlebury,06/01/1991,
1461699,Branbury State Park,Park,VT,50,Addison,1,435421N,0730417W,43.905895700000002,-73.071502600000002,,,,,175,574,East Middlebury,06/01/1991,
1461713,Jamaica State Park,Park,VT,50,Windham,25,430639N,0724616W,43.110910900000000,-72.771207300000000,,,,,223,732,Jamaica,02/01/1991,
1461828,Shaftsburg State Park,Park,VT,50,Bennington,3,430106N,0731113W,43.018411100000002,-73.187052100000002,,,,,272,892,Arlington,06/01/1991,
1888942,Marsh-Billings-Rockefeller National Historical Park,Park,VT,50,Windsor,27,433800N,0723205W,43.633420800000003,-72.534770300000005,,,,,337,1106,Woodstock North,11/06/2000,05/23/2017
1918030,Battell Park,Park,VT,50,Addison,1,435508N,0725728W,43.918952400000002,-72.957889499999993,,,,,760,2493,Bread Loaf,05/08/2001,
1918047,Bristol Downtown Historic District,Park,VT,50,Addison,1,440800N,0730442W,44.133391199999998,-73.078452100000007,,,,,173,568,Bristol,05/08/2001,
1918057,Button Bay State Park,Park,VT,50,Addison,1,441050N,0732132W,44.180608999999997,-73.359014200000004,,,,,29,95,Vergennes West,05/08/2001,
1918074,Cornwall Swamp Wildlife Management Area,Park,VT,50,Addison,1,435626N,0731141W,43.940615800000003,-73.194838899999993,,,,,110,361,Cornwall,05/08/2001,
1918079,Dead Creek Wildlife Management Area,Park,VT,50,Addison,1,440945N,0731901W,44.162554299999996,-73.317068300000003,,,,,30,98,Vergennes West,05/08/2001,
1918080,Dead Creek Wildlife Management Area,Park,VT,50,Addison,1,440033N,0732013W,44.009224000000003,-73.337065600000003,,,,,53,174,Snake Mountain,05/08/2001,
1918082,East Creek Waterfowl Area,Park,VT,50,Addison,1,434825N,0732058W,43.807005400000001,-73.349561499999993,,,,,30,98,Orwell,05/08/2001,
1918133,Kings Bay State Park,Park,VT,50,Addison,1,441358N,0731803W,44.232830800000002,-73.300958300000005,,,,,33,108,Vergennes West,05/08/2001,
1918152,Little Otter Creek Wildlife Management Area,Park,VT,50,Addison,1,441400N,0731623W,44.233386600000003,-73.273179700000000,,,,,29,95,Vergennes West,05/08/2001,
1918171,Middlebury Village Historic District,Park,VT,50,Addison,1,440051N,0730959W,44.014226000000001,-73.166506499999997,,,,,122,400,Middlebury,05/08/2001,
1918175,Mount Independence State Historic Site,Park,VT,50,Addison,1,434935N,0732250W,43.826449300000000,-73.380673799999997,,,,,91,299,Ticonderoga,05/08/2001,
1918202,Pond Woods Wildlife Management Area,Park,VT,50,Addison,1,434613N,0731615W,43.770339999999997,-73.270947899999996,,,,,258,846,Orwell,05/08/2001,
1918210,Richville Wildlife Management Area,Park,VT,50,Addison,1,435101N,0731420W,43.850338899999997,-73.239004399999999,,,,,76,249,Sudbury,05/08/2001,
1918212,Riley Bostwick Wildlife Management Area,Park,VT,50,Addison,1,435532N,0730536W,43.925617400000000,-73.093447900000001,,,,,151,495,East Middlebury,05/08/2001,
1918261,Washington Street Plaza,Park,VT,50,Addison,1,440051N,0730952W,44.014226000000001,-73.164562099999998,,,,,123,404,Middlebury,05/08/2001,
1918269,Weybridge Cave Natural Area,Park,VT,50,Addison,1,440329N,0731208W,44.058113499999997,-73.202341399999995,,,,,142,466,Middlebury,05/08/2001,
1918278,Winona Recreation Area,Park,VT,50,Addison,1,440908N,0730546W,44.152279399999998,-73.096230599999998,,,,,169,554,Bristol,05/08/2001,
1918319,East Hill Wildlife Management Area,Park,VT,50,Lamoille,15,443320N,0722453W,44.555608399999997,-72.414830400000000,,,,,393,1289,Wolcott,05/08/2001,
1918331,Fairground Plaza,Park,VT,50,Lamoille,15,443423N,0723547W,44.573107600000000,-72.596504199999998,,,,,212,696,Morrisville,05/08/2001,
1918368,Jeffersonville Historic District,Park,VT,50,Lamoille,15,443839N,0724945W,44.644216900000004,-72.829294500000003,,,,,141,463,Jeffersonville,05/08/2001,
1918406,Morrisville Historic District,Park,VT,50,Lamoille,15,443348N,0723555W,44.563385500000003,-72.598726499999998,,,,,202,663,Morrisville,05/08/2001,
1918466,Stowe Village Historic District,Park,VT,50,Lamoille,15,442755N,0724114W,44.465331599999999,-72.687339899999998,,,,,218,715,Stowe,05/08/2001,
1918496,World War Memorial,Park,VT,50,Lamoille,15,Unknown,Unknown,0.000000000000000,0.000000000000000,,,,,,,Unknown,05/08/2001,
1918518,Fort Saint Anne Monument,Park,VT,50,Grand Isle,13,445406N,0732042W,44.901707199999997,-73.345132800000002,,,,,45,148,Rouses Point,05/08/2001,
1918529,Isle La Motte Monument,Park,VT,50,Grand Isle,13,445407N,0731912W,44.901985099999997,-73.320132099999995,,,,,30,98,Rouses Point,05/08/2001,
1918532,Knight Island State Park,Park,VT,50,Grand Isle,13,444847N,0731448W,44.813098199999999,-73.246797299999997,,,,,33,108,Saint Albans Bay,05/08/2001,
1918533,Knight Point State Park,Park,VT,50,Grand Isle,13,444611N,0731735W,44.769764899999998,-73.293187300000000,,,,,36,118,North Hero,05/08/2001,
1918545,Samuel de Champlain Statue,Park,VT,50,Grand Isle,13,445406N,0732042W,44.901707199999997,-73.345132800000002,,,,,45,148,Rouses Point,05/08/2001,
1918561,Battery Park,Park,VT,50,Chittenden,7,442835N,0731309W,44.476438000000002,-73.219294300000001,,,,,36,118,Burlington,05/08/2001,
1918562,Battery Street Historic District,Park,VT,50,Chittenden,7,442826N,0731251W,44.473938099999998,-73.214294199999998,,,,,46,151,Burlington,05/08/2001,
1918603,Charlotte Center Historic District,Park,VT,50,Chittenden,7,441839N,0731513W,44.310885300000002,-73.253736200000006,,,,,77,253,Charlotte,05/08/2001,
1918619,City Hall Park,Park,VT,50,Chittenden,7,442834N,0731250W,44.476160200000002,-73.214016400000006,,,,,58,190,Burlington,05/08/2001,
1918620,City Hall Park Historic District,Park,VT,50,Chittenden,7,442834N,0731250W,44.476160200000002,-73.214016400000006,,,,,58,190,Burlington,05/08/2001,
1918659,Ethan Allen Homestead,Park,VT,50,Chittenden,7,443024N,0731407W,44.506715000000000,-73.235406100000006,,,,,68,223,Colchester,05/08/2001,
1918687,Fred Johnson Wildlife Management Area,Park,VT,50,Chittenden,7,441753N,0730328W,44.298110100000002,-73.057899800000001,,,,,296,971,Hinesburg,05/08/2001,
1918698,Head of Church Street Historic District,Park,VT,50,Chittenden,7,442850N,0731241W,44.480604700000001,-73.211516500000002,,,,,71,233,Burlington,05/08/2001,
1918715,Huntington Gap Wildlife Manangement Area,Park,VT,50,Chittenden,7,441330N,0725558W,44.225057399999997,-72.932896099999994,,,,,745,2444,Mount Ellen,05/08/2001,
1918731,Jericho Center Historic District,Park,VT,50,Chittenden,7,443016N,0725949W,44.504494999999999,-72.997071000000005,,,,,186,610,Underhill,05/08/2001,
1918752,Main Street-College Street Historic District,Park,VT,50,Chittenden,7,442837N,0731244W,44.476993499999999,-73.212349799999998,,,,,63,207,Burlington,05/08/2001,
1918757,Mallets Bay State Park,Park,VT,50,Chittenden,7,443510N,0731143W,44.586158500000003,-73.195407700000004,,,,,61,200,Colchester,05/08/2001,
1918783,Mount Philo State Park,Park,VT,50,Chittenden,7,441643N,0731253W,44.278664200000001,-73.214846100000003,,,,,292,958,Mount Philo,05/08/2001,
1918803,Old Mill Museum and Park,Park,VT,50,Chittenden,7,443017N,0725955W,44.504772799999998,-72.998737800000001,,,,,161,528,Underhill,05/08/2001,
1918814,Pearl Street Historic District,Park,VT,50,Chittenden,7,442850N,0731220W,44.480604700000001,-73.205683199999996,,,,,78,256,Burlington,05/08/2001,
1918836,Robbins Mountain Wildlife Management Area,Park,VT,50,Chittenden,7,442130N,0725649W,44.358387600000000,-72.947066199999995,,,,,304,997,Huntington,05/08/2001,
1918864,Sand Bar National Waterfowl Management Area,Park,VT,50,Chittenden,7,443715N,0731313W,44.620879700000003,-73.220408000000006,,,,,30,98,Colchester,05/08/2001,
1918881,Shelburne Village Historic District,Park,VT,50,Chittenden,7,442250N,0731340W,44.380606499999999,-73.227903699999999,,,,,47,154,Burlington,05/08/2001,
1918894,South Union Street Historic District,Park,VT,50,Chittenden,7,442826N,0731231W,44.473938099999998,-73.208738699999998,,,,,70,230,Burlington,05/08/2001,
1918895,South Willard Street Historic District,Park,VT,50,Chittenden,7,442814N,0731219W,44.470604899999998,-73.205405200000001,,,,,94,308,Burlington,05/08/2001,
1918904,The Cottage Green,Park,VT,50,Chittenden,7,442843N,0731142W,44.478660400000003,-73.195127499999998,,,,,109,358,Burlington,05/08/2001,
1918941,Waterfront Park,Park,VT,50,Chittenden,7,442842N,0731316W,44.478382300000000,-73.221238799999995,,,,,32,105,Burlington,05/08/2001,
1918944,Wells-Richardson District,Park,VT,50,Chittenden,7,442818N,0731249W,44.471715900000000,-73.213738699999993,,,,,40,131,Burlington,05/08/2001,
1918955,Williston Village Historic District,Park,VT,50,Chittenden,7,442616N,0730405W,44.437829100000002,-73.068180999999996,,,,,150,492,Essex Junction,05/08/2001,
1918958,Winooski Falls Mill District,Park,VT,50,Chittenden,7,442924N,0731111W,44.490049100000000,-73.186516499999996,,,,,50,164,Burlington,05/08/2001,
1918973,Courthouse Plaza,Park,VT,50,Chittenden,7,442832N,0731240W,44.475604799999999,-73.211238699999996,,,,,58,190,Burlington,05/08/2001,
1918984,Barre Downtown Historic District,Park,VT,50,Washington,23,441152N,0723006W,44.197838900000001,-72.501771599999998,,,,,185,607,Barre West,05/08/2001,
1919005,Buck Lake Wildlife Management Area,Park,VT,50,Washington,23,442750N,0722358W,44.463943800000003,-72.399551299999999,,,,,414,1358,Woodbury,05/08/2001,
1919031,Currier Park,Park,VT,50,Washington,23,441148N,0722951W,44.196727799999998,-72.497604800000005,,,,,193,633,Barre East,05/08/2001,
1919032,Currier Park Historic District,Park,VT,50,Washington,23,441148N,0722951W,44.196727799999998,-72.497604800000005,,,,,193,633,Barre East,05/08/2001,
1919090,Kents Corner Historic District,Park,VT,50,Washington,23,442207N,0722906W,44.368668200000002,-72.485107799999994,,,,,343,1125,Plainfield,05/08/2001,
1919100,Little River State Park,Park,VT,50,Washington,23,442435N,0724747W,44.409776700000002,-72.796508900000006,,,,,508,1667,Bolton Mountain,05/08/2001,
1919118,Mill Village Historic District,Park,VT,50,Washington,23,442029N,0724452W,44.341445399999998,-72.747895499999998,,,,,133,436,Middlesex,05/08/2001,
1919127,Montpelier Historic District,Park,VT,50,Washington,23,441537N,0723426W,44.260337100000001,-72.573998000000003,,,,,162,531,Montpelier,05/08/2001,
1919131,Montpelier Recreational Field,Park,VT,50,Washington,23,441643N,0723421W,44.278669999999998,-72.572609499999999,,,,,164,538,Montpelier,05/08/2001,
1919181,Plainfield Village Historic District,Park,VT,50,Washington,23,441642N,0722533W,44.278392799999999,-72.425937099999999,,,,,240,787,Plainfield,05/08/2001,
1919189,Robert Burns Memorial Statue,Park,VT,50,Washington,23,441146N,0722954W,44.196172199999999,-72.498438100000001,,,,,196,643,Barre East,05/08/2001,
