survey,village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
2016-07-01,1,1,1,1001,HINDUISM,,0,1,0,0,0,,3,4,No,None,RENTED,0,0
2016-07-02,1,2,2,1002,HINDUISM,,0,1,0,0,0,,1,1,"Yes, Government",None,RENTED,1,1
2016-07-03,1,3,3,1003,HINDUISM,,0,0,0,0,1,,3,4,"Yes, Private",None,RENTED,0,1
2016-07-04,1,4,4,1004,HINDUISM,,0,1,0,0,0,,2,6,"Yes, Private",Owned,RENTED,0,0
2016-07-05,1,5,5,1005,HINDUISM,,0,1,0,0,0,,3,4,"Yes, Private",None,RENTED,0,0
2016-07-06,1,6,6,1006,HINDUISM,,0,0,1,0,0,,2,1,"Yes, Private",Owned,RENTED,1,0
2016-07-07,1,7,7,1007,HINDUISM,,0,0,1,0,0,,3,5,"Yes, Government",Owned,RENTED,1,0
2016-07-08,1,8,8,1008,HINDUISM,,0,0,0,1,0,,2,1,"Yes, Government",Owned,RENTED,1,0
2016-07-09,1,9,9,1009,HINDUISM,,0,1,0,0,0,,2,7,"Yes, Government",None,NA,0,0
2016-07-07,1,10,10,1010,HINDUISM,,0,0,1,0,0,,2,1,"Yes, Private",None,RENTED,0,0
2016-07-11,1,11,12,1012,HINDUISM,,0,1,0,0,0,,2,0,"Yes, Government",None,RENTED,0,0
2016-07-16,1,12,13,1013,HINDUISM,,0,1,0,0,0,,2,2,"Yes, Government",None,RENTED,1,0
2016-07-07,1,13,14,1014,HINDUISM,,0,0,0,1,0,,1,4,"Yes, Government",None,NA,0,0
2016-07-18,1,14,15,1015,HINDUISM,,0,1,0,0,0,,2,0,"Yes, Government",None,RENTED,0,0
2016-07-19,1,15,16,1016,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,RENTED,1,1
2016-07-16,1,16,17,1017,HINDUISM,,0,0,0,1,0,,1,0,"Yes, Government",None,RENTED,0,0
2016-07-07,1,17,18,1018,HINDUISM,,0,1,0,0,0,,2,3,"Yes, Private",None,RENTED,0,0
2016-07-18,1,18,19,1019,HINDUISM,,0,0,0,1,0,,3,0,"Yes, Private",None,RENTED,0,1
2016-07-19,1,19,20,1020,HINDUISM,,0,0,1,0,0,,3,2,"Yes, Private",None,RENTED,1,0
2016-07-08,1,20,21,1021,HINDUISM,,0,0,1,0,0,,3,2,"Yes, Private",Owned,RENTED,1,0
2016-07-21,1,21,22,1022,HINDUISM,,0,0,1,0,0,,2,0,"Yes, Private",None,RENTED,0,0
2016-07-22,1,22,23,1023,HINDUISM,,0,0,1,0,0,,2,4,"Yes, Government",None,NA,0,0
2016-07-23,1,23,24,1024,HINDUISM,,0,0,1,0,0,,2,2,"Yes, Government",None,RENTED,1,0
2016-07-24,1,24,25,1025,HINDUISM,,0,0,0,1,0,,1,1,"Yes, Private",Owned,RENTED,0,1
2016-07-25,1,25,26,1026,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,RENTED,0,0
2016-07-26,1,26,27,1027,HINDUISM,,0,0,0,1,0,,2,3,"Yes, Government",None,NA,0,0
2016-07-18,1,27,28,1028,HINDUISM,,0,0,0,1,0,,1,1,"Yes, Government",None,NA,0,0
2016-07-19,1,28,29,1029,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",Owned,NA,1,1
2016-07-08,1,29,30,1030,HINDUISM,,0,0,0,1,0,,3,2,No,Owned,RENTED,0,0
2016-07-07,1,30,31,1031,HINDUISM,,0,0,0,1,0,,4,2,"Yes, Government",Owned,NA,1,0
2016-07-22,1,31,32,1032,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,RENTED,1,0
2016-07-23,1,32,33,1033,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,NA,1,0
2016-07-24,1,33,34,1034,HINDUISM,,0,0,0,1,0,,2,0,"Yes, Government",None,RENTED,0,0
2016-07-25,1,34,35,1035,HINDUISM,,0,0,0,1,0,,2,2,"Yes, Government",None,NA,1,0
