percentage_nonneedbased_aid,four_year_grad_rate,admit_rate,avg_grad_debt,avg_needbased_aid,avg_nonneedbased_aid,instate_tuition,location,name,rank,value_rank,grad_salary,state,total_cost_per_year,tuition_and_fees,undergrad_enrollment,conference
0,89,7,8908,41998,0,,"Princeton, NJ",Princeton University,1,1,80500,NJ,61140,45320,5402,Ivy League
1,86,5,16702,48598,23954,,"Cambridge, MA",Harvard University,2,4,90900,MA,66609,47074,6699,Ivy League
5,86,11,22256,47133,63649,,"Durham, NC",Duke University,8,5,77900,NC,69598,51265,6639,Atlantic Coast Conference
21,87,11,24122,41331,22357,,"Nashville, TN",Vanderbilt University,15,7,64500,TN,64542,45610,6883,Southeastern Conference
17,83,15,22497,36772,19019,,"Houston, TX",Rice University,15,8,64300,TX,60658,43918,3910,Conference USA
0,88,11,17849,46770,0,,"Hanover, NH",Dartmouth College,11,12,70000,NH,69787,51438,4307,Ivy League
0,86,6,13625,50565,0,,"New Haven, CT",Yale University,3,13,83200,CT,70570,49480,5532,Ivy League
0,85,8,24954,41767,0,,"Cambridge, MA",Massachusetts Institute of Technology,7,17,94200,MA,65612,48452,4527,New England Women's and Men's Athletic Conference
0,81,8,18219,41901,5000,,"Pasadena, CA",California Institute of Technology,12,18,74200,CA,66027,47577,1001,Southern California Intercollegiate Athletic Conference
1,75,5,21987,45318,13697,,"Stanford, CA",Stanford University,5,20,85700,CA,66184,47940,6999,Pac-12 Conference
0,86,6,23463,50733,0,,"New York, NY",Columbia University,5,24,78200,NY,72627,55056,6102,Ivy League
0,87,14,23389,39595,0,,"Ithaca, NY",Cornell University,15,29,73600,NY,68163,50953,14315,Ivy League
7,85,25,29217,40816,25795,,"Atlanta, GA",Emory University,20,30,61500,GA,64510,47954,6867,University Athletic Conference
9,67,46,21645,7083,2531,6389,"Gainesville, FL",University of Florida,50,32,53100,FL,39779,28666,35043,Southeastern Conference
3,88,12,23593,38238,39352,,"Baltimore, MD",Johns Hopkins University,10,34,69800,MD,69310,50410,6524,Centennial Conference
0,84,9,23810,44105,8704,,"Providence, RI",Brown University,14,35,63100,RI,69010,51367,6652,Ivy League
14,88,17,23577,40509,6111,,"St. Louis, MO",Washington University in St. Louis,19,40,66300,MO,68531,49770,7504,University Athletic Conference
0,85,9,24536,43899,0,,"Philadelphia, PA",University of Pennsylvania,8,41,82400,PA,69880,51464,9726,Ivy League
4,89,31,20481,37716,21634,,"Chestnut Hill, MA",Boston College,31,43,70000,MA,68738,51296,9192,Atlantic Coast Conference
0,89,8,23852,43792,0,,"Chicago, IL",University of Chicago,3,44,65500,IL,73560,52491,5844,University Athletic Conference
9,90,19,28406,37390,12919,,"Notre Dame, IN",University of Notre Dame,15,46,71600,IN,67445,49685,8462,Atlantic Coast Conference
0,90,17,23412,40252,0,,"Washington, DC",Georgetown University,20,51,90100,DC,69568,50547,7562,Big East
6,88,30,24598,20980,5966,15722,"Charlottesville, VA",University of Virginia,24,52,60700,VA,59856,45066,16736,Atlantic Coast Conference
